iid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,sports,tvsports,exercise,dining
1,0.14,0,27,2,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.54,0,22,2,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.16,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.61,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.21,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.25,0,25,2,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.34,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,0.28,0,28,2,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
1,-0.36,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,Law,1,4,2,4,Chicago,"60,521","69,487.00",2,7,1,lawyer,9,2,8,9
