nation,wave,Trad Rat values,Surv Self values
Albania,3,0.52,-1.56
Albania,4,0.07,-1.14
Algeria,4,-1.48,-0.74
Andorra,5,0.8,1.62
Argentina,1,0,-0.3
Argentina,2,-0.46,0.03
Argentina,3,-0.6,0.71
Argentina,4,-0.95,0.36
Argentina,5,-0.66,0.38
Armenia,3,0.55,-1.31
Australia,1,-0.34,1.14
Australia,3,-0.18,1.96
Australia,5,0.21,1.75
Austria,2,0.23,0.8
Austria,4,0.25,1.43
Azerbaijan,3,-0.14,-1.38
Bangladesh,3,-1.24,-1.1
Bangladesh,4,-1.21,-0.93
Belarus,2,0.93,-1.12
Belarus,3,0.67,-1.72
Belarus,4,0.89,-1.23
Belgium,1,0.09,0.08
Belgium,2,0.4,0.77
Belgium,4,0.5,1.13
Bosnia,3,0.09,-0.56
Bosnia,4,0.34,-0.65
Brazil,2,-0.95,-0.38
Brazil,3,-1.29,0.02
Brazil,5,-0.98,0.61
Britain,1,-0.25,0.95
Britain,2,0.08,1.13
Britain,3,0.08,1.24
Britain,4,0.29,1.31
Britain,5,0.06,1.68
Bulgaria,2,1.28,-1.33
Bulgaria,3,0.9,-1.23
Bulgaria,4,1.15,-1.52
Bulgaria,5,1.13,-1.01
BurkinaFas,5,-1.32,-0.49
Canada,1,-0.52,1.04
Canada,2,0.07,1.31
Canada,4,-0.16,1.72
Canada,5,-0.26,1.91
Chile,2,-1.1,-0.2
Chile,3,-0.81,-0.08
Chile,4,-0.87,0.12
Chile,5,-0.87,0
China,2,1.79,-1.13
China,3,0.79,-1.23
China,4,1.2,-0.93
China,5,0.8,-1.16
Colombia,3,-1.71,0.34
Colombia,4,-1.67,0.68
Colombia,5,-1.87,0.6
Croatia,3,0.72,-0.51
Croatia,4,0.08,0.31
Cyprus,5,-0.56,0.13
Czech,2,1.24,-0.11
Czech,3,1.07,0.33
Czech,4,1.23,0.38
Denmark,1,1.6,1.44
Denmark,2,1.25,1.2
Denmark,4,1.16,1.87
Dom. Rep.,3,-1.05,0.33
E Germany,2,1.06,0.6
E Germany,3,1.74,0.58
E Germany,5,1.46,0.26
E Germany,4,1.44,0.42
Egypt,4,-1.69,-0.64
Egypt,4,-1.61,-0.46
El Salvador,4,-2.06,0.53
Estonia,2,1.3,-0.88
Estonia,3,1.27,-1.3
Estonia,4,1.27,-1.19
Ethiopia,5,-0.65,-0.36
Finland,1,0.63,0.82
Finland,2,1.21,1.26
Finland,3,0.68,1.01
Finland,4,0.84,0.94
Finland,5,0.82,1.12
France,1,0.54,0.13
France,2,0.38,0.71
France,4,0.52,0.94
France,5,0.63,1.13
Galicia,3,-0.04,1.34
Georgia,3,-0.04,-1.31
Ghana,3,-1.66,-0.05
Ghana,5,-1.94,-0.29
Greece,4,0.77,0.55
Guatemala,4,-1.7,-0.17
Hong Kong,5,1.2,-0.98
Hungary,1,0.17,-1.07
Hungary,2,0.46,-1.06
Hungary,3,0.79,-0.77
Hungary,4,0.4,-1.22
Iceland,1,0.01,0.83
Iceland,2,0.27,1.12
Iceland,4,0.44,1.63
India,2,-0.49,-0.91
