1,2,3,4
Global,33 300 000,[31 400 000 - 35 300 000],28 600 000
Angola,200 000,[160 000 - 250 000],140 000
Benin,60 000,[52 000 - 69 000],50 000
Botswana,320 000,[300 000 - 350 000],270 000
Burkina Faso,110 000,[91 000 - 140 000],140 000
Burundi,180 000,[160 000 - 190 000],170 000
Cameroon,610 000,[540 000 - 670 000],480 000
Central African Republic,130 000,[110 000 - 140 000],180 000
Chad,210 000,[170 000 - 300 000],140 000
Comoros,<500,[<200 - <500],<100
Congo,77 000,[68 000 - 87 000],69 000
Cote dIvoire,450 000,[390 000 - 510 000],630 000
Democratic Republic of the Congo,...,[430 000 - 560 000],...
Equatorial Guinea,20 000,[14 000 - 26 000],5700
Eritrea,25 000,[18 000 - 33 000],26 000
Ethiopia,...,...,...
Gabon,46 000,[37 000 - 55 000],36 000
Gambia,18 000,[12 000 - 26 000],4300
Ghana,260 000,[230 000 - 300 000],250 000
Guinea,79 000,[65 000 - 95 000],78 000
Guinea-Bissau,22 000,[18 000 - 26 000],14 000
Kenya,1 500 000,[1 300 000 - 1 600 000],1 500 000
Lesotho,290 000,[260 000 - 310 000],240 000
Liberia,37 000,[32 000 - 43 000],51 000
Madagascar,24 000,[19 000 - 30 000],18 000
Malawi,920 000,[830 000 - 1 000 000],860 000
Mali,76 000,[61 000 - 96 000],89 000
Mauritania,14 000,[11 000 - 17 000],8900
Mauritius,8800,[6400 - 12 000],3100
Mozambique,1 400 000,[1 200 000 - 1 500 000],850 000
Namibia,180 000,[150 000 - 210 000],160 000
Niger,61 000,[50 000 - 77 000],53 000
Nigeria,3 300 000,[2 900 000 - 3 600 000],2 700 000
Rwanda,170 000,[140 000 - 190 000],170 000
Senegal,59 000,[50 000 - 69 000],33 000
Sierra Leone,49 000,[40 000 - 63 000],25 000
South Africa,5 600 000,[5 400 000 - 5 900 000],4 600 000
Swaziland,180 000,[170 000 - 200 000],130 000
Togo,120 000,[99 000 - 150 000],100 000
Uganda,1 200 000,[1 100 000 - 1 300 000],980 000
United Republic of Tanzania,1 400 000,[1 300 000 - 1 500 000],1 400 000
Zambia,980 000,[890 000 - 1 100 000],830 000
Zimbabwe,1 200 000,[1 100 000 - 1 300 000],1 700 000
China,740 000,[540 000 - 1 000 000],...
Democratic People Republic of Korea,...,...,...
Japan,8100,[6300 - 10 000],6500
Mongolia,<500,[<500 - <1000],<100
Republic of Korea,9500,[7000 - 13 000],5200
Australia,20 000,[15 000 - 25 000],13 000
Fiji,<1000,[<500 - <1000],<200
New Zealand,2500,[2000 - 3200],1600
Papua New Guinea,34 000,[30 000 - 39 000],14 000
Bangladesh,6300,[5200 - 8300],1100
Bhutan,<1000,[<1000 - 1500],<200
Cambodia,63 000,[42 000 - 90 000],92 000
India,2 400 000,[2 100 000 - 2 800 000],2 500 000
Indonesia,310 000,[200 000 - 460 000],11 000
Lao People Democratic Republic,8500,[6000 - 13 000],<1000
Malaysia,100 000,[83 000 - 120 000],67 000
Maldives,<100,[<100 - <100],<100
Myanmar,240 000,[200 000 - 290 000],250 000
Nepal,64 000,[51 000 - 80 000],60 000
Pakistan,98 000,[79 000 - 120 000],39 000
Philippines,8700,[6100 - 13 000],1700
Singapore,3400,[2500 - 4400],2800
Sri Lanka,2800,[2100 - 3800],1300
Thailand,530 000,[420 000 - 660 000],640 000
Viet Nam,280 000,[220 000 - 350 000],140 000
Armenia,1900,[1500 - 2400],1400
Azerbaijan,3600,[2600 - 5200],1300
Belarus,17 000,[13 000 - 20 000],6300
Georgia,3500,[2600 - 4900],1200
Kazakhstan,13 000,[9000 - 19 000],1800
Kyrgyzstan,9800,[6500 - 16 000],<1000
Republic of Moldova,12 000,[9900 - 16 000],12 000
Russian Federation,980 000,[840 000 - 1 200 000],430 000
Tajikistan,9100,[6400 - 13 000],4100
Ukraine,350 000,[300 000 - 410 000],290 000
Uzbekistan,28 000,[18 000 - 46 000],<1000
Austria,15 000,[12 000 - 20 000],5300
Belgium,14 000,[11 000 - 18 000],12 000
Bulgaria,3800,[2800 - 5200],1800
Croatia,<1000,[<1000 - 1100],<1000
Czech Republic,2000,[1700 - 2300],1300
Denmark,5300,[4000 - 6300],3300
Estonia,9900,[8000 - 12 000],4700
Finland,2600,[2200 - 3100],1600
France,150 000,[120 000 - 190 000],120 000
Germany,67 000,[56 000 - 75 000],49 000
Greece,8800,[7300 - 11 000],8100
Hungary,3000,[2200 - 3900],2800
Iceland,<1000,[<500 - <1000],<500
Ireland,6900,[5200 - 8700],4500
Israel,7500,[5600 - 9900],5200
Italy,140 000,[110 000 - 180 000],130 000
Latvia,8600,[6300 - 12 000],4700
Lithuania,1200,[<1000 - 1600],<1000
Luxembourg,<1000,[<1000 - 1200],<1000
Malta,<500,[<500 - <500],<500
